"","variable","chain1","chain2","chain3"
"1","MSY",1.93862086045692,1.59083763116048,-0.745295720590202
"2","S.eq",1.03392930882823,1.041350909845,-1.04945912615602
"3","S.eq.alt",1.68049546552135,0.970781847332223,-1.21241202791415
"4","S.max",0.212867608343075,0.773905638347985,-0.779485836852021
"5","S.msy",0.614420695794869,0.865668471507397,-0.97111530261436
"6","S.msy.alt",1.14909506011396,0.887411691894825,-1.15281890650075
"7","U.msy",1.34053164500554,0.290183082113317,0.434625154942182
"8","alpha",1.68096058294572,0.117926460900594,1.10633787164948
"9","alpha.c",1.19158309402479,0.94821481865206,0.688628812991656
"10","beta",-0.782597810042867,-0.40458982550945,1.70760227438004
"11","lnalpha",1.71196864929661,0.0867109521742723,0.923157319257118
"12","lnalpha.c",1.30014442860554,0.588239029657694,0.613972266381746
"13","resid.red.0",-0.278711883536863,-0.362690919003088,0.809105658720531
"14","sigma.red",-0.334062755424272,0.798055278084671,-0.526936999357074
"15","sigma.white",-0.334062755424272,0.798055278084671,-0.526936999357074
"16","tau.red",0.0529794151705408,-0.0709511385990699,0.44996763034265
"17","tau.white",0.0529794151705408,-0.0709511385990699,0.44996763034265
"18","frac1",0.1,0.1,0.1
"19","frac2",0.5,0.5,0.5
