"","MSY","S.eq","S.eq.alt","S.max","S.msy","S.msy.alt","U.msy","alpha","alpha.c","beta","lnalpha","lnalpha.c","resid.red.0","sigma.red","sigma.white","tau.red","tau.white"
"Lag 0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lag 1000",0.0011778145758133,0.00756595042307938,0.00505976733276983,0.00807703485535978,0.00821936680412458,0.00694676358955696,0.00141934210158299,0.00669236543248569,0.00531340506653523,0.0075009462143908,0.00294709699270419,0.00405933469954286,0.00251632668690368,0.011787680096431,0.011787680096431,0.0139071549366305,0.0139071549366305
"Lag 5000",0.000254684895912027,-0.0122694531648457,-0.00657171005882513,-0.00885534108878623,-0.0111387488362542,-0.00781235851586364,0.00836482689763515,0.00633275253732222,0.00805671867958982,-0.00264816384941768,0.00438372071925844,0.00871580400707076,-0.0034050186693257,-0.0000854152089397123,-0.0000854152089397148,-0.00696714379661624,-0.00696714379661624
"Lag 10000",0.00392776270046794,-0.0028570068756105,-0.00640027649006747,-0.00158594305878503,-0.00253772788207728,-0.00427287787454749,0.0099346964942196,0.00602666024419838,0.0051967926826659,0.006531517648474,0.00514704408708549,0.00855041575744331,0.0057847414170799,-0.0010677898501923,-0.0010677898501923,-0.00218036552343344,-0.00218036552343344
"Lag 50000",-0.0116157660899752,-0.010123875114207,-0.00453952410031133,-0.00437798497359236,-0.0064396801399906,-0.00470975014465947,0.00752363328948285,0.0093163577872906,0.0102764326784124,0.0019946046149552,0.00941932302637809,0.00978274950538629,0.00286688207338595,-0.00394807936340839,-0.00394807936340839,-0.00221315977547693,-0.00221315977547693
