"","variable","chain1","chain2","chain3"
"1","MSY",-1.05628578940042,0.0839819405960301,-1.99316099059861
"2","S.eq",-0.984265418964073,-0.182384948922571,-3.05102806286693
"3","S.eq.alt",-0.531369177754183,-0.556950825461134,-2.6335041767979
"4","S.max",-0.439847501405956,0.114201740502811,-2.74655138253176
"5","S.msy",-0.740746625864322,-0.110027508949794,-2.87919094486044
"6","S.msy.alt",-0.586278933881575,-0.420241873484191,-2.70831656797851
"7","U.msy",-0.499149887851524,-0.626118694234991,0.235200074847913
"8","alpha",0.206536232761658,-0.00374724177397377,0.34428777887196
"9","alpha.c",-0.80415765666651,0.458126842443213,-0.517311512743387
"10","beta",0.459788059749719,0.437832113840186,2.14676750786255
"11","lnalpha",0.345235273077944,-0.452766476138696,0.531976965831724
"12","lnalpha.c",-0.624808764994646,-0.150876065773419,-0.114064076095952
"13","phi",-1.17863227808086,-1.30024418753024,-0.181133054934393
"14","resid.red.0",-1.19239682247142,-0.320274932578894,0.901653639610647
"15","sigma.red",-1.85830251809586,0.556827354990047,-1.18530981375716
"16","sigma.white",-1.67072493335015,1.02560737739151,-1.2202250241707
"17","tau.red",1.42148772007933,-0.625637514527207,1.38473608557217
"18","tau.white",1.07767463210398,-1.17998262516086,1.3653464111985
"19","frac1",0.1,0.1,0.1
"20","frac2",0.5,0.5,0.5
