"","MSY","S.eq","S.eq.alt","S.max","S.msy","S.msy.alt","U.msy","alpha","alpha.c","beta","lnalpha","lnalpha.c","phi","resid.red.0","sigma.red","sigma.white","tau.red","tau.white"
"Lag 0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lag 1000",-0.00157601853111182,-0.00675271591223835,-0.00602254433361811,-0.00467301624121351,-0.00666568857567777,-0.00604681558649904,0.00560797362447987,0.00177150254923658,-0.00289368962679386,0.00652203367788593,0.00245349024731345,0.000542549726708825,-0.00437137223079002,-0.000479963507187401,-0.000362047967342109,0.000783759788404315,-0.00166315906500583,-0.00220697651022336
"Lag 5000",-0.00146997752562687,-0.00453292720759363,-0.00193199531947367,-0.00679991745629162,-0.00604700187673227,-0.00426856576900049,-0.00717761846188128,-0.0081024114746373,-0.000337219853730348,-0.0155292192186677,-0.007140353076849,-0.00518666723557828,-0.00463770045579616,-0.00786965067878663,0.00171800291349102,0.000612468022558229,0.00274229268702775,0.000901655188679496
"Lag 10000",-0.000459835307842435,-0.00228081139200501,0.00154008984968061,-0.0064284811422796,-0.00413282107212718,-0.00103387565382105,0.00426263071463652,0.000231662265863443,0.00360002445125525,-0.00309152324769545,0.000185527927215186,0.00477846609986631,-0.00114901643818276,-0.0172515196390773,0.00358595638461078,0.00784984392225242,0.00358308906726601,0.00650676356907825
"Lag 50000",-0.000971115086814798,-0.000379476752731853,0.00257266153628812,0.00739705823661953,0.00367160595315775,0.00353886105665903,-0.00640930013834549,0.00169059880462706,-0.0016029943526359,-0.00386424626452942,0.002007233128512,-0.00457316374711299,-0.00370866156374204,-0.00801259552336141,-0.0116266924221992,-0.00508037696754199,-0.00968700327767159,-0.00342883461637268
