"","variable","point_estimate","Upper C.I.","converge"
"1","MSY",1.00469623516082,1.00537403014692,"true"
"2","S.eq",1.00043986485672,1.00125335401241,"true"
"3","S.eq.alt",1.00029153467813,1.00076006604533,"true"
"4","S.max",1.00130396111319,1.00184056750724,"true"
"5","S.msy",1.00070773399486,1.00139761794791,"true"
"6","S.msy.alt",1.00062018665574,1.0011630474486,"true"
"7","U.msy",0.999999131346523,1.00029639448535,"true"
"8","alpha",1.00045946013868,1.00137499100292,"true"
"9","alpha.c",1.00516507672016,1.00593217546884,"true"
"10","beta",1.00029322236467,1.00139481975979,"true"
"11","lnalpha",1.00020389344969,1.00101026587278,"true"
"12","lnalpha.c",1.00022767709033,1.00069560074783,"true"
"13","phi",0.999942073830657,1.00001999786961,"true"
"14","resid.red.0",1.00027380478725,1.00124518456107,"true"
"15","sigma.red",1.0003699698339,1.0009404688372,"true"
"16","sigma.white",1.00007066838381,1.00048854848407,"true"
"17","tau.red",1.00014519029956,1.00066964184315,"true"
"18","tau.white",1.00018481570699,1.00062229243574,"true"
