"oy_0.9","oy_0.8","oy_0.7","or_0.9","or_0.8","or_0.7","of_0.9","of_0.8","of_0.7","escapement"
0.000083,0.000167,0.00025,0.006583,0.008167,0.010083,0,0,0,590000
0.000083,0.000167,0.00025,0.006417,0.008,0.009667,0,0,0,595000
0.000083,0.000167,0.00025,0.006333,0.00775,0.0095,0,0,0,600000
0.000083,0.000167,0.00025,0.005917,0.007667,0.009417,0,0,0,605000
0.000083,0.000167,0.00025,0.005833,0.0075,0.009167,0,0,0,610000
0.000083,0.000083,0.00025,0.005417,0.00725,0.008917,0,0,0,615000
0.000083,0.000083,0.00025,0.005333,0.007,0.00875,0,0,0,620000
0.000083,0.000083,0.00025,0.005167,0.00675,0.00825,0,0,0,625000
0.000083,0.000083,0.000167,0.004833,0.006417,0.008083,0,0,0,630000
0.000083,0.000083,0.000167,0.004667,0.00625,0.008,0,0,0,635000
0.000083,0.000083,0.000167,0.004583,0.006083,0.007583,0,0,0,640000
0.000083,0.000083,0.000167,0.004583,0.005833,0.0075,0,0,0,645000
0.000083,0.000083,0.000167,0.004583,0.005583,0.0075,0,0,0,650000
0.000083,0.000083,0.000167,0.004417,0.005333,0.007333,0,0,0,655000
0.000083,0.000083,0.000167,0.004417,0.005167,0.006917,0,0,0,660000
0.000083,0.000083,0.000167,0.004417,0.005083,0.006667,0,0,0,665000
0.000083,0.000083,0.000167,0.00425,0.004833,0.0065,0,0,0,670000
0.000083,0.000083,0.000083,0.00425,0.004583,0.006167,0,0,0,675000
0.000083,0.000083,0.000083,0.004,0.004583,0.006083,0,0,0,680000
0.000083,0.000083,0.000083,0.003833,0.004583,0.005917,0,0,0,685000
0.000083,0.000083,0.000083,0.00375,0.0045,0.00575,0,0,0,690000
0.000083,0.000083,0.000083,0.00375,0.0045,0.0055,0,0,0,695000
0.000083,0.000083,0.000083,0.003667,0.00425,0.005167,0,0,0,700000
0.000083,0.000083,0.000083,0.003667,0.004167,0.005083,0,0,0,705000
0.000083,0.000083,0.000083,0.003583,0.004167,0.005083,0,0,0,710000
0.000083,0.000083,0.000083,0.0035,0.004167,0.004917,0,0,0,715000
0.000083,0.000083,0.000083,0.003417,0.004083,0.004583,0,0,0,720000
0.000083,0.000083,0.000083,0.00325,0.004,0.004583,0,0,0,725000
0.000083,0.000083,0.000083,0.003083,0.003917,0.00425,0,0,0,730000
0.000083,0.000083,0.000083,0.003083,0.00375,0.00425,0,0,0,735000
0.000083,0.000083,0.000083,0.003,0.003667,0.00425,0,0,0,740000
0.000083,0.000083,0.000083,0.003,0.003667,0.00425,0,0,0,745000
0.000083,0.000083,0.000083,0.002833,0.003667,0.004167,0,0,0,750000
0.000083,0.000083,0.000083,0.002667,0.003667,0.004167,0,0,0,755000
0.000083,0.000083,0.000083,0.002667,0.003333,0.004167,0,0,0,760000
0.000083,0.000083,0.000083,0.002667,0.00325,0.004167,0,0,0,765000
0.000083,0.000083,0.000083,0.002583,0.003167,0.004083,0,0,0,770000
0.000083,0.000083,0.000083,0.002583,0.003083,0.003917,0,0,0,775000
0.000083,0.000083,0.000083,0.002583,0.003,0.003917,0,0,0,780000
0.000083,0.000083,0.000083,0.002583,0.003,0.003833,0,0,0,785000
0.000083,0.000083,0.000083,0.002583,0.003,0.00375,0,0,0,790000
0.000083,0.000083,0.000083,0.002583,0.003,0.003583,0,0,0,795000
0.000083,0.000083,0.000083,0.002583,0.002917,0.003583,0,0,0,800000
0.000083,0.000083,0.000083,0.002583,0.00275,0.0035,0,0,0,805000
0.000083,0.000083,0.000083,0.002417,0.002667,0.003333,0,0,0,810000
0.000083,0.000083,0.000083,0.00225,0.002583,0.00325,0,0,0,815000
0.000083,0.000083,0.000083,0.002083,0.002583,0.003167,0,0,0,820000
0.000083,0.000083,0.000083,0.002083,0.002583,0.003,0,0,0,825000
0.000083,0.000083,0.000083,0.002,0.002583,0.003,0,0,0,830000
0.000083,0.000083,0.000083,0.001917,0.002583,0.003,0,0,0,835000
0.000083,0.000083,0.000083,0.001917,0.002583,0.003,0,0,0,840000
0.000083,0.000083,0.000083,0.001917,0.002583,0.003,0,0,0,845000
0.000083,0.000083,0.000083,0.001917,0.0025,0.003,0,0,0,850000
0.000083,0.000083,0.000083,0.001917,0.002417,0.002917,0,0,0,855000
0.000083,0.000083,0.000083,0.001917,0.002333,0.002667,0,0,0,860000
0.000083,0.000083,0.000083,0.001917,0.00225,0.002667,0,0,0,865000
0.000083,0.000083,0.000083,0.001917,0.002167,0.002667,0,0,0,870000
0.000083,0.000083,0.000083,0.001917,0.002,0.002583,0,0,0,875000
0,0.000083,0.000083,0.001917,0.001917,0.002583,0,0,0,880000
0,0.000083,0.000083,0.001833,0.001917,0.002583,0,0,0,885000
0,0.000083,0.000083,0.001833,0.001917,0.002583,0,0,0,890000
0,0.000083,0.000083,0.001583,0.001917,0.002583,0,0,0,895000
0,0.000083,0.000083,0.001583,0.001917,0.0025,0,0,0,900000
0,0.000083,0.000083,0.0015,0.001917,0.002417,0,0,0,905000
0,0.000083,0.000083,0.0015,0.001917,0.002333,0,0,0,910000
0,0.000083,0.000083,0.0015,0.001917,0.00225,0,0,0,915000
0,0.000083,0.000083,0.0015,0.001917,0.00225,0,0,0,920000
0,0.000083,0.000083,0.0015,0.001917,0.002083,0,0,0,925000
0,0.000083,0.000083,0.0015,0.001917,0.002,0,0,0,930000
0,0.000083,0.000083,0.0015,0.001833,0.001917,0,0,0,935000
0,0.000083,0.000083,0.001417,0.001833,0.001917,0,0,0,940000
0,0.000083,0.000083,0.001417,0.00175,0.001917,0,0,0,945000
0,0.000083,0.000083,0.001333,0.001667,0.001917,0,0,0,950000
0,0.000083,0.000083,0.001333,0.001583,0.001917,0,0,0,955000
0,0.000083,0.000083,0.001333,0.0015,0.001917,0,0,0,960000
0,0.000083,0.000083,0.001333,0.0015,0.001917,0,0,0,965000
0,0.000083,0.000083,0.001333,0.0015,0.001917,0,0,0,970000
0,0.000083,0.000083,0.001333,0.0015,0.001917,0,0,0,975000
0,0.000083,0.000083,0.00125,0.0015,0.001917,0,0,0,980000
0,0.000083,0.000083,0.00125,0.0015,0.001917,0,0,0,985000
0,0.000083,0.000083,0.00125,0.0015,0.001833,0,0,0,990000
0,0.000083,0.000083,0.00125,0.0015,0.00175,0,0,0,995000
0,0,0.000083,0.00125,0.001417,0.00175,0,0,0,1000000
0,0,0.000083,0.00125,0.001333,0.001667,0,0,0,1005000
0,0,0.000083,0.001167,0.001333,0.001667,0,0,0,1010000
0,0,0.000083,0.001167,0.001333,0.001667,0,0,0,1015000
0,0,0.000083,0.001167,0.001333,0.0015,0,0,0,1020000
0,0,0.000083,0.001083,0.001333,0.0015,0,0,0,1025000
0,0,0.000083,0.001083,0.001333,0.0015,0,0,0,1030000
0,0,0.000083,0.001083,0.001333,0.0015,0,0,0,1035000
0,0,0.000083,0.001083,0.001333,0.0015,0,0,0,1040000
0,0,0.000083,0.001083,0.001333,0.0015,0,0,0,1045000
0,0,0.000083,0.001083,0.00125,0.0015,0,0,0,1050000
0,0,0.000083,0.001083,0.00125,0.0015,0,0,0,1055000
0,0,0.000083,0.001083,0.00125,0.001417,0,0,0,1060000
0,0,0.000083,0.000917,0.00125,0.001417,0,0,0,1065000
0,0,0.000083,0.000917,0.001167,0.001333,0,0,0,1070000
0,0,0.000083,0.000917,0.001167,0.001333,0,0,0,1075000
0,0,0.000083,0.000917,0.001167,0.001333,0,0,0,1080000
0,0,0.000083,0.000917,0.001083,0.001333,0,0,0,1085000
0,0,0.000083,0.000917,0.001083,0.001333,0,0,0,1090000
0,0,0.000083,0.000917,0.001083,0.001333,0,0,0,1095000
0,0,0,0.000917,0.001083,0.001333,0,0,0,1100000
0,0,0,0.000917,0.001083,0.001333,0,0,0,1105000
0,0,0,0.000917,0.001083,0.001333,0,0,0,1110000
0,0,0,0.000917,0.001083,0.001333,0,0,0,1115000
0,0,0,0.000917,0.001,0.001333,0,0,0,1120000
0,0,0,0.000917,0.001,0.001333,0,0,0,1125000
0,0,0,0.000917,0.001,0.00125,0,0,0,1130000
0,0,0,0.000833,0.001,0.001167,0,0,0,1135000
0,0,0,0.000833,0.000917,0.001167,0,0,0,1140000
0,0,0,0.000833,0.000917,0.001167,0,0,0,1145000
0,0,0,0.000833,0.000917,0.001167,0,0,0,1150000
0,0,0,0.00075,0.000917,0.001083,0,0,0,1155000
0,0,0,0.00075,0.000917,0.001083,0,0,0,1160000
0,0,0,0.00075,0.000917,0.001083,0,0,0,1165000
0,0,0,0.000667,0.000917,0.001083,0,0,0,1170000
0,0,0,0.000583,0.000917,0.001083,0,0,0,1175000
0,0,0,0.000583,0.000917,0.001083,0,0,0,1180000
0,0,0,0.000583,0.000917,0.001,0,0,0,1185000
0,0,0,0.000583,0.000917,0.001,0,0,0,1190000
0,0,0,0.000583,0.000917,0.001,0,0,0,1195000
0,0,0,0.000583,0.000917,0.001,0,0,0,1200000
0,0,0,0.000583,0.000917,0.001,0,0,0,1205000
0,0,0,0.000583,0.000833,0.001,0,0,0,1210000
0,0,0,0.000583,0.000833,0.000917,0,0,0,1215000
0,0,0,0.000583,0.000833,0.000917,0,0,0,1220000
0,0,0,0.000583,0.00075,0.000917,0,0,0,1225000
