"","variable","point_estimate","Upper C.I.","converge"
"1","MSY",1.00012453380479,1.00016976984086,"true"
"2","S.eq",1.00075332965437,1.00113233752883,"true"
"3","S.max",1.00124637482102,1.00202021329104,"true"
"4","S.msy",1.00091412825349,1.00148679181528,"true"
"5","U.msy",1.00038849146278,1.00145991141153,"true"
"6","alpha",1.00027605923803,1.00126330099781,"true"
"7","alpha.c",1.00017097090019,1.0007070386326,"true"
"8","beta",1.00024800034511,1.00079613395315,"true"
"9","lnalpha",1.00032963258855,1.0014853974865,"true"
"10","lnalpha.c",1.00026743620143,1.00110945422204,"true"
"11","resid.red.0",0.999928163404307,0.999983261461592,"true"
"12","sigma.red",1.00007482248977,1.00009037946502,"true"
"13","sigma.white",1.00007482248977,1.00009037946502,"true"
"14","tau.red",1.00006567052139,1.0000729292675,"true"
"15","tau.white",1.00006567052139,1.0000729292675,"true"
