"","variable","chain1","chain2","chain3"
"1","MSY",0.0215856663801763,0.611921117463697,-0.394029540028172
"2","S.eq",0.96238337821589,0.838165858236447,-0.266344634076149
"3","S.max",1.2729306231913,0.981118947280664,-0.234526597355886
"4","S.msy",1.18664852843557,0.853458408470751,-0.22595486513133
"5","U.msy",-1.62831684671188,-0.443503137317694,0.0219940482899992
"6","alpha",-1.84734409271314,0.278767147328411,-0.378508281093502
"7","alpha.c",-1.12180621379212,0.265403561022491,-0.293220564314263
"8","beta",-1.9414230948105,-0.44635542834561,0.120126982806575
"9","lnalpha",-1.82626526193666,-0.0245719242999367,-0.30090706839109
"10","lnalpha.c",-1.43972482657399,-0.116320744017063,-0.128709874578728
"11","resid.red.0",-0.950038945439213,1.02797666442102,-0.392266761024417
"12","sigma.red",0.227479300418828,-0.0940663803830645,0.313036461780893
"13","sigma.white",0.227479300418828,-0.0940663803830645,0.313036461780893
"14","tau.red",-0.30629551120535,-0.332555233611398,-0.386159393278484
"15","tau.white",-0.30629551120535,-0.332555233611398,-0.386159393278484
"16","frac1",0.1,0.1,0.1
"17","frac2",0.5,0.5,0.5
