year,spawn,recruit
1962,26866,54520
1963,63984,63949
1964,22200,163130
1965,62500,77666
1966,82500,86158
1967,33000,153332
1968,11800,137508
1969,81000,91748
1970,35200,220866
1971,15000,46728
1972,51000,218568
1973,55000,233688
1974,22334,110825
1975,34855,191528
1976,9056,173531
1977,31562,1251048
1978,42284,70303
1979,48281,150407
1980,142253,473656
1981,156112,496238
1982,180314,612159
1983,38783,106297
1984,63622,203086
1985,163342,16598
1986,74135,26918
1987,187263,60053
1988,72023,50495
1989,36881,9410
1990,8250,26127
1991,9701,153809
1992,29642,114127
1993,9232,67466
1994,7264,27939
1995,30382,317508
1996,38693,133471
1997,35010,44736
1998,27050,89490
1999,59311,234816
2000,28446,143849
2001,38547,15616
2002,28323,180332
2003,75427,100769
2004,30569,151952
2005,30313,25296
2006,23479,91527
2007,70001,631208
2008,29298,166552
2009,23186,77930
2010,24312,105129
2011,102359,49586
2012,74978,51492
2013,17231,105272
