"","Point est.","Upper C.I."
"R.msy",1.28568556707856,1.32440484827171
"S.eq",1.12824663109125,1.1313438860112
"S.msy",1.11909537984968,1.12196737413975
"alpha",1.20677490299981,1.21136945325875
