"","     beta","   lnalpha","  lnalpha.c"," Smsy_lambert"," Umsy_lambert"
"","Min.   :4.397e-08  ","Min.   :0.07292  ","Min.   : 0.6088  ","Min.   :   27031  ","Min.   :0.2801  "
"","1st Qu.:1.002e-05  ","1st Qu.:1.33009  ","1st Qu.: 1.7822  ","1st Qu.:   45030  ","1st Qu.:0.6709  "
"","Median :1.368e-05  ","Median :1.64187  ","Median : 2.1306  ","Median :   53974  ","Median :0.7489  "
"","Mean   :1.377e-05  ","Mean   :1.66585  ","Mean   : 2.2307  ","Mean   :   77488  ","Mean   :0.7414  "
"","3rd Qu.:1.742e-05  ","3rd Qu.:1.98517  ","3rd Qu.: 2.5312  ","3rd Qu.:   69822  ","3rd Qu.:0.8195  "
"","Max.   :3.566e-05  ","Max.   :8.64352  ","Max.   :24.1072  ","Max.   :14810290  ","Max.   :1.0000  "
