"","Point est.","Upper C.I."
"MSY",1.16653959057912,1.16917711895128
"S.eq",1.14330912568168,1.14476753792047
"S.max",1.12405018324474,1.12495438964075
"S.msy",1.13929813212329,1.14061852325488
