"","beta","lnalpha","lnalpha.c","Smsy_lambert","Umsy_lambert"
"0%",4.39651236763699e-08,0.0729158361215558,0.608753188423223,27030.9696654702,0.28010427900736
"2.5%",2.95916242647776e-06,0.686389391736863,1.16900900081145,34291.0978960291,0.491910780513311
"50%",1.36839676013757e-05,1.64187157302482,2.13056860457476,53973.9529747521,0.748852747786636
"97.5%",2.48055545600442e-05,2.78364336671576,3.89251849083623,207010.219470482,0.947403274355867
"100%",3.56571617674112e-05,8.64351958970818,24.1072197134525,14810289.6018094,0.999999999907815
