"","Item","Mean","SD","Time series SE","2.5%","50%","97.5%","CV"
"1","MSY",298218.823694579,1092929.45761563,19956.917357908,62954.9827270397,168074.376232418,1101723.27491942,3.66485738249357
"2","R.msy",-64932619.7149165,2745584392.6547,61415388.3233664,108926.286800191,227989.864695652,1213322.12286065,-42.2835918943214
"3","S.eq",213217.162162509,839682.212046804,15332.0311575004,102263.797570933,155738.972884871,496852.611262732,3.93815490052729
"4","S.max",106497.789817641,399233.860461161,7290.03596074895,40121.2720564631,71994.7631520503,317935.160254057,3.74875254354836
"5","S.msy",73072.246466636,293106.156944442,5351.91806076158,32299.9043280623,52899.9421022804,176398.950501016,4.01118305673373
"6","U.msy",0.728645093072437,0.151662051207212,0.00357783809110569,0.493122886838538,0.748348061100686,0.889252115470905,0.208142554789887
"7","alpha",6.28236491125306,9.7090809417055,0.177294451194825,1.93124237006095,5.20973240921405,15.3179192368328,1.54545001426365
"8","beta",1.39317321280318e-05,5.457344738532e-06,1.00406634743404e-07,3.14529582301052e-06,1.38898991720182e-05,2.49244341797513e-05,0.391720475844592
"9","lnalpha",1.66297269448724,0.532992257564286,0.00988981745907085,0.658163430801041,1.65052848646945,2.72901892678648,0.320505718062092
"10","lnalpha.c",2.23992553152645,0.757084631513304,0.0135835125581919,1.21609780384057,2.14904187453969,3.78336806355646,0.337995447106391
"11","phi",0.579620437871877,0.159050957881501,0.00320307684435414,0.263219554052839,0.582208508177361,0.880599052976312,0.274405365113538
"12","resid.red.0",-0.0760566198712641,0.858503973074705,0.0147008375740034,-1.75619191028223,-0.0616135153313323,1.59380000257726,-11.2876955947797
"13","sigma.red",1.03113037933429,0.301174451510133,0.00549865614922591,0.708943851790459,0.962889350026034,1.80080736387313,0.292081833244575
"14","sigma.white",0.782646090048481,0.100547609513196,0.00192604069227034,0.613684171126218,0.772110512285222,1.00265877613738,0.128471362460864
