"","Mean","SD","Time-series SE","2.5%","50%","97.5%"
"MSY",264421.770780433,2162153.62797322,39483.1121244835,90027.6072337689,158650.658221101,552536.801047895
"S.eq",427187.544841606,4335318.26435574,79170.6672202574,119642.283665711,187290.742591629,1133517.50127359
"S.max",297881.244948018,3243746.03845303,59238.0885587475,48870.1861771555,105183.336001712,855606.891874798
"S.msy",168453.012190526,1759972.22048945,32140.4269303562,39646.814975366,69807.5646133001,464268.130962052
"U.msy",0.665382587147187,0.0932751327044939,0.00165451124690589,0.476164917812015,0.669254952492516,0.834621826984635
"alpha",4.29239161552055,1.703747568037,0.0301373027370722,2.06807195797074,3.92689297008695,8.65531236529669
"beta",9.77318351721087e-06,5.03472420655427e-06,9.19381648066881e-08,1.16876107296468e-06,9.50721072106411e-06,2.04623734491264e-05
"lnalpha",1.38737462810431,0.36720357178132,0.00648481999867684,0.726616751803316,1.36784842156356,2.15817327467321
"lnalpha.c",1.81167956649144,0.391114995977361,0.00692791581096412,1.13160357342259,1.78416334078176,2.65932494917696
"resid.red.0",0.0371312444492628,0.912769727415901,0.0166703326742402,-1.76275254483991,0.0513989354844335,1.91163242517014
"sigma.red",0.913467356236093,0.119130166334234,0.00217469912891708,0.716380816866318,0.898790462124352,1.19062065538301
"sigma.white",0.913467356236093,0.119130166334234,0.00217469912891708,0.716380816866318,0.898790462124352,1.19062065538301
