"","beta","lnalpha","lnalpha.c","Smsy_lambert","Umsy_lambert"
"2310100",2.13599180089379e-05,2.33055122466136,2.77796608188016,39980.3378451356,0.853976738341733
"2310200",2.41347015816547e-05,2.46026822474013,2.95457802861129,36255.478918456,0.875015164396908
"2310300",3.0301355813113e-05,3.25959334418841,4.33066062965888,31861.4595029041,0.965445421122588
"2310400",1.46887074681055e-05,1.38647129466534,1.85441194358177,46865.5620113143,0.688394530712553
"2310500",1.0347795180203e-05,2.0272799147217,2.34659172057911,76276.6436690401,0.789295085720551
"2310600",1.76283866534626e-05,1.90633053099819,2.7486200101027,48228.7778936275,0.850195544532835
"2310700",8.89824508054681e-06,1.10316555909049,1.54118470162111,68223.2763809492,0.607067433435567
"2310800",9.77508406755908e-06,1.78874497324873,2.1824429413794,77656.016829218,0.759094092857389
"2310900",1.02421191630479e-05,1.22427957160868,1.74660597150037,64632.5106355334,0.661973875736093
"2311000",2.31293066660197e-05,2.33164171055076,2.55261875962559,35569.6355253555,0.822701008064496
"2311100",5.24796497249425e-06,1.3302288759831,1.64082605651818,120895.697055402,0.634456383472025
"2311200",1.67791047302217e-05,1.70655328294435,1.99379063354834,42921.2658038224,0.72018041407602
"2311300",2.35676493043592e-05,2.51043712466099,3.67952992841398,39701.7916088195,0.935677901391409
"2311400",1.63609896490035e-05,1.8316320903974,2.35857781871915,48369.4805060302,0.791372569886835
"2311500",2.2972613445715e-05,3.15300902527929,4.3108933070992,41996.9218618297,0.964779051841712
"2311600",1.82502736667144e-05,1.86549662974697,2.13611346018264,41093.291608329,0.7499638177181
"2311700",1.3487736128783e-05,2.04030808219396,2.51999686568764,60627.6767809222,0.817730106522224
"2311800",1.30530303225627e-06,0.80517555612816,1.12407530043231,365143.317469503,0.476622679501058
"2311900",1.53175678321252e-05,1.80889136153929,2.26495467816285,50575.1010975694,0.774687541678611
"2312000",1.5177682473898e-05,1.78676983449232,2.19707663751527,50200.1251426337,0.76192155956484
"2312100",8.1822976080947e-06,1.20619242760895,1.50957487578062,73094.1264302301,0.598077895855843
"2312200",1.65739594360638e-05,3.1791866332802,5.00454707785507,59255.0667996578,0.982091073518779
"2312300",9.68696233126271e-06,0.89178872919705,1.19812935309694,51787.0172666263,0.50165888551026
"2312400",8.45720541083209e-06,1.58310855781906,2.2134495516029,90461.706524752,0.765053233894237
"2312500",1.37749442844103e-05,1.88828500206457,2.17272885689002,54969.5343837182,0.757202273475693
"2312600",7.55676812192695e-06,1.314630595214,1.75741647559592,87960.4464843833,0.664696697983649
"2312700",9.52193060260583e-06,1.30278209598515,1.69907363672705,68243.0837699376,0.649805907765162
"2312800",1.60875279561826e-05,1.79815906893279,2.35769266224764,49182.1822662389,0.791219732154185
"2312900",1.2055457227128e-05,1.48606554582815,1.88798332894706,57757.464577857,0.696292643765713
"2313000",1.32223290748722e-05,1.85874779672298,2.51401041711625,61774.6840406151,0.816805200881269
"2313100",1.80212048199516e-05,1.82604045073806,2.32771527679889,43614.6599607346,0.785988720304943
"2313200",1.6314848690224e-05,1.37809141311312,1.75519064914623,40707.5445355403,0.664137429647896
"2313300",1.18887923101678e-05,1.68348170445194,1.94560427720282,59677.1569012496,0.709489324060253
"2313400",5.08210493169628e-06,1.08610302785905,1.59511813324741,122404.1052074,0.622070506734396
"2313500",1.71235855128369e-05,1.70839879270659,2.62570080580336,48670.8914390031,0.833420171541771
"2313600",8.32379891283163e-06,1.78063268105234,2.46500759961046,97201.3268062042,0.809084298395275
"2313700",1.509258672358e-05,1.84206241263625,2.41829218127951,53103.6325854441,0.801471180132946
"2313800",2.00503052027098e-05,2.62666344165772,3.45637857671034,45923.7543906758,0.920785291587334
"2313900",1.63603835912411e-05,1.50294561311649,2.13164260155444,45785.4950854529,0.749068262512894
"2314000",1.1982824723774e-05,4.36154640900755,12.9348968846968,83452.2298011423,0.999993442515194
"2314100",2.67519912971844e-05,3.50264866823175,4.11182646550384,35785.736428094,0.957339709487705
"2314200",1.99230531010766e-05,2.37076228896806,2.78092396277725,42882.6443024733,0.854353199552758
"2314300",1.27804961698402e-05,1.58664505093875,1.9183761884477,55029.9221997809,0.703309709900901
"2314400",1.10813976347161e-05,0.695351719977696,1.70162432070346,58699.0040879664,0.650467005060581
