"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
69591.860114,62323.795327,43108.574979,30610.917369,27979.50821,5000
126910.183736,113936.979701,79561.562872,57356.724536,52563.284543,10000
173051.154254,155857.869415,110155.136239,80239.582194,73845.522107,15000
210195.313688,189647.861675,135481.457474,99856.403087,91879.013939,20000
240291.165038,216926.08836,156167.303386,115781.151966,106979.557468,25000
263179.386245,238786.585241,172707.344782,128598.526642,119123.645675,30000
281189.387261,254922.124559,185142.789131,138466.286992,128615.567283,35000
294064.304861,266896.480761,194115.749885,145885.546083,135139.180381,40000
303691.760213,275798.27534,200280.263074,150789.091732,139608.293579,45000
310903.643198,282008.962283,203942.370824,152860.420261,141668.22905,50000
315339.362303,285499.299658,205172.435686,152797.037521,141081.479307,55000
318138.655599,287095.588788,204494.824105,151003.11917,138817.871104,60000
319546.837364,287251.954569,202309.125146,147180.4799,134433.588838,65000
319569.599402,285288.029884,198217.316463,141587.577598,128609.186546,70000
318017.818702,282608.895573,192793.225635,134458.756518,121346.541616,75000
315474.738241,278936.514709,186579.223968,126324.040369,112966.648996,80000
312771.033195,274477.793977,179056.994539,117432.06377,103233.413537,85000
308270.572371,269107.28118,170502.705441,107435.375862,93155.438197,90000
302860.662612,262232.971441,161410.445722,96341.325442,81885.569726,95000
297794.768454,255096.440945,151432.37123,85436.324541,70247.245332,100000
291505.623957,247440.682324,141222.743603,73682.857231,58212.07665,105000
285330.871318,239888.617075,130123.642813,61822.442394,46476.056356,110000
277870.178232,231790.987221,119024.147701,49842.346011,34383.412086,115000
270525.638695,223394.49814,107589.293013,37991.163059,22021.527743,120000
263351.155893,213902.726798,96145.518368,25656.234953,9982.221559,125000
254237.623948,204316.282693,84213.336305,13325.624503,-1877.427707,130000
244661.797019,194322.354091,72315.597447,1104.005852,-13670.332403,135000
235183.044471,184433.632398,60402.719833,-10735.070748,-25268.310791,140000
225726.815058,173876.623795,48279.784406,-22517.304831,-36693.931277,145000
216164.950557,163388.585743,36316.0142,-34080.736249,-48159.469857,150000
206245.264432,153085.485389,24441.634728,-45354.905821,-59320.682807,155000
196209.838741,142034.215378,12564.347139,-56547.676643,-70094.866853,160000
186264.087325,131127.225392,864.311418,-67472.97148,-80711.328261,165000
175760.149089,118947.859217,-10870.275257,-78126.295821,-90955.007103,170000
163969.647151,107826.843526,-22271.858417,-88440.142212,-100934.869443,175000
153279.248069,96586.213845,-33728.287208,-98494.954258,-110880.97087,180000
143181.760681,85361.592791,-44996.500572,-108445.958873,-120413.815472,185000
131753.644472,73763.417235,-56106.205457,-118184.857909,-129734.950129,190000
121063.895706,62628.10535,-66933.069435,-127664.189948,-138947.934086,195000
109741.312893,50933.674925,-77495.65477,-136947.393189,-147693.407021,200000
98683.970942,40024.732036,-87903.802392,-146016.894207,-156272.796906,205000
87708.400666,28680.786766,-98098.550072,-154903.373645,-164589.236787,210000
76096.934058,17214.729306,-108273.731777,-163560.467667,-172797.13154,215000
65227.875728,5711.044126,-118131.857403,-171924.068941,-180846.884992,220000
54423.331922,-5309.256213,-127880.51645,-180034.063131,-188704.81185,225000
43430.358214,-16129.101864,-137503.286141,-188051.995684,-196304.829608,230000
32334.115311,-26892.905108,-146909.719673,-195793.219858,-203766.807043,235000
20808.81882,-37980.959903,-156146.528546,-203368.812949,-211030.081054,240000
9690.976269,-48854.517712,-165281.664942,-210848.149657,-218121.922053,245000
-1546.354385,-59361.689383,-174227.307614,-218185.436851,-225082.304566,250000
-12900.473669,-70141.515235,-182911.04633,-225320.276495,-231936.740551,255000
-22958.239646,-80182.722904,-191489.315162,-232412.782686,-238655.025038,260000
-34135.240305,-90328.309491,-199896.766869,-239279.481537,-245248.584053,265000
-44589.574112,-100658.1474,-208145.065375,-246079.055475,-251736.187532,270000
-54867.378405,-110878.913642,-216277.363355,-252767.21275,-258150.913684,275000
-65674.163019,-121030.414305,-224291.566424,-259313.117815,-264436.47316,280000
-76036.946044,-130542.874202,-232166.894785,-265820.638394,-270637.916701,285000
-86282.30929,-140576.809729,-239903.580067,-272180.437132,-276754.315923,290000
-96476.232454,-150694.494118,-247490.299022,-278459.3923,-282774.23542,295000
-106197.075927,-160415.928717,-254989.171709,-284660.226629,-288710.353476,300000
-116489.804216,-169903.336208,-262381.396233,-290783.287223,-294602.189403,305000
-127017.387727,-179334.512591,-269701.985304,-296814.135046,-300381.917029,310000
-137293.034335,-188896.272293,-276853.033552,-302791.918597,-306130.198932,315000
-146934.250896,-197991.151736,-283891.025409,-308679.815976,-311843.163653,320000
-156808.134919,-207107.844996,-290806.783411,-314522.609822,-317479.476776,325000
-166589.566239,-216121.114388,-297649.571487,-320289.428948,-323064.635208,330000
-176006.348608,-224974.339569,-304405.558654,-326005.039901,-328610.877782,335000
-185733.277762,-233668.113395,-311099.331561,-331666.031534,-334113.118078,340000
-195202.840422,-242268.972526,-317672.001949,-337290.100219,-339574.124732,345000
-204395.40356,-250758.690325,-324124.83068,-342859.209201,-345005.547557,350000
-213787.379171,-259109.956444,-330552.934384,-348385.571572,-350405.871201,355000
-222998.473118,-267264.899481,-336913.86132,-353879.005925,-355772.986607,360000
-231879.202104,-275309.567372,-343166.885456,-359329.299868,-361114.614432,365000
-240660.944933,-283421.840935,-349382.433364,-364750.758318,-366430.167208,370000
-249915.561332,-291415.563511,-355515.970982,-370147.364257,-371718.227875,375000
-258396.039832,-299227.86418,-361597.011069,-375508.840043,-376984.979549,380000
-267152.384356,-306965.047601,-367609.617248,-380844.73718,-382221.16288,385000
-275620.997366,-314675.76079,-373584.088335,-386158.469424,-387446.504206,390000
-284182.462268,-322405.138838,-379526.104269,-391449.506639,-392651.965564,395000
-292549.106579,-330084.845295,-385416.778601,-396725.700989,-397842.02243,400000
-301161.98636,-337649.567085,-391246.992042,-401975.950405,-403014.492722,405000
-309299.9598,-344923.901749,-397009.655747,-407209.685955,-408177.701203,410000
-317594.767625,-352110.717476,-402747.314663,-412424.957256,-413327.820689,415000
-325654.295594,-359375.020801,-408460.187311,-417621.354313,-418466.951486,420000
-333720.603743,-366571.567157,-414129.266566,-422805.593506,-423595.307274,425000
-341670.360834,-373775.544209,-419746.415705,-427976.875378,-428710.271862,430000
-349259.179402,-380864.541502,-425338.103854,-433134.941719,-433820.529946,435000
-356689.494488,-387865.654096,-430881.709758,-438280.248616,-438918.185119,440000
-364041.052331,-394727.974383,-436408.045804,-443411.445392,-444007.554617,445000
-371758.860515,-401534.172168,-441898.298252,-448532.87716,-449088.974791,450000
-379305.276928,-408430.660412,-447364.118004,-453645.745773,-454163.773235,455000
-386721.004556,-415105.469645,-452809.967459,-458753.418418,-459232.032289,460000
-394092.850047,-421826.181938,-458229.828814,-463848.975418,-464295.604661,465000
-401244.6517,-428359.999165,-463617.714025,-468939.279586,-469354.109983,470000
