"oy_0.9","oy_0.8","oy_0.7","or_0.9","or_0.8","or_0.7","of_0.9","of_0.8","of_0.7","escapement"
0,0,0,0,0,0,1,1,1,0
0,0,0,0,0.000583,0.0015,1,1,1,5000
0,0,0,0.035833,0.088333,0.214917,1,1,1,10000
0,0,0.012833,0.325833,0.532417,0.751,1,1,0.987167,15000
0.000083,0.031417,0.313,0.714167,0.859333,0.940167,0.999917,0.968583,0.687,20000
0.022417,0.311667,0.712083,0.900917,0.956,0.983167,0.977583,0.688333,0.287917,25000
0.20675,0.652083,0.884083,0.962917,0.98475,0.992917,0.79325,0.347917,0.115917,30000
0.49175,0.839333,0.950333,0.985167,0.992667,0.996167,0.50825,0.160667,0.049667,35000
0.716833,0.920833,0.975083,0.991917,0.995667,0.997667,0.283167,0.079167,0.024917,40000
0.845,0.9575,0.986,0.99525,0.997167,0.998333,0.155,0.0425,0.014,45000
0.911417,0.97525,0.99175,0.996583,0.997917,0.999,0.088333,0.02475,0.00825,50000
0.941167,0.984833,0.9945,0.997667,0.998583,0.999167,0.052333,0.015083,0.0055,55000
0.933083,0.988417,0.996,0.998083,0.999,0.999417,0.033833,0.010083,0.004,60000
0.874917,0.982,0.996833,0.998583,0.999167,0.999667,0.02175,0.007083,0.003083,65000
0.769083,0.957083,0.993167,0.999083,0.999417,0.99975,0.01525,0.005167,0.00225,70000
0.644917,0.893333,0.97825,0.999167,0.999583,0.999917,0.010833,0.004,0.001833,75000
0.516667,0.7985,0.94375,0.999417,0.99975,0.999917,0.008083,0.003083,0.001333,80000
0.400417,0.68725,0.871833,0.9995,0.99975,0.999917,0.006167,0.0025,0.00125,85000
0.307083,0.56725,0.781833,0.999667,0.999917,0.999917,0.004833,0.00225,0.001167,90000
0.234583,0.460583,0.677583,0.99975,0.999917,0.999917,0.004,0.001833,0.000833,95000
0.17675,0.3635,0.56975,0.999833,0.999917,0.999917,0.00325,0.001333,0.0005,100000
0.136417,0.28775,0.471833,0.9995,0.999917,1,0.002917,0.00125,0.0005,105000
0.1075,0.228,0.38125,0.997833,0.99975,1,0.002333,0.001167,0.00025,110000
0.083,0.17875,0.30925,0.994833,0.999167,0.999917,0.002,0.001,0.00025,115000
0.063833,0.141833,0.249083,0.990083,0.997,0.999667,0.001833,0.000833,0.00025,120000
0.05125,0.114583,0.199833,0.98125,0.993667,0.9985,0.001583,0.0005,0.00025,125000
0.042333,0.090833,0.15925,0.968333,0.989333,0.996583,0.001333,0.0005,0.000167,130000
0.03425,0.073667,0.13175,0.94675,0.98,0.992833,0.00125,0.000417,0.000167,135000
0.028833,0.059,0.1085,0.9205,0.966583,0.987917,0.001167,0.00025,0.000167,140000
0.023417,0.049833,0.088083,0.888917,0.94675,0.97975,0.001,0.00025,0.000167,145000
0.019083,0.04175,0.072333,0.853917,0.920667,0.967,0.000833,0.00025,0.000083,150000
0.016417,0.035,0.059333,0.8145,0.890917,0.9495,0.00075,0.00025,0.000083,155000
0.014417,0.030333,0.050417,0.76925,0.859667,0.92575,0.0005,0.000167,0.000083,160000
0.012417,0.025167,0.043,0.725333,0.822333,0.898583,0.0005,0.000167,0.000083,165000
0.010833,0.021167,0.036667,0.677583,0.781833,0.870833,0.000417,0.000167,0.000083,170000
0.00925,0.018333,0.032083,0.631167,0.73975,0.836,0.00025,0.000167,0.000083,175000
0.007917,0.016167,0.027583,0.582417,0.6975,0.798917,0.00025,0.000167,0.000083,180000
0.00725,0.014417,0.02325,0.537333,0.6505,0.760333,0.00025,0.000083,0.000083,185000
0.00625,0.01275,0.02025,0.495667,0.6055,0.720833,0.00025,0.000083,0.000083,190000
0.005667,0.011083,0.018,0.453833,0.562083,0.67875,0.00025,0.000083,0.000083,195000
0.005083,0.0095,0.016,0.41525,0.5225,0.63725,0.00025,0.000083,0.000083,200000
0.004667,0.008417,0.01425,0.378833,0.483583,0.595417,0.000167,0.000083,0,205000
0.004,0.00775,0.01275,0.347917,0.442417,0.552833,0.000167,0.000083,0,210000
0.003583,0.00675,0.011083,0.319583,0.4065,0.517,0.000167,0.000083,0,215000
0.003417,0.006167,0.010083,0.290583,0.373917,0.480667,0.000167,0.000083,0,220000
0.00325,0.0055,0.009,0.263417,0.34625,0.44275,0.000167,0.000083,0,225000
0.002917,0.005083,0.008083,0.240917,0.31875,0.409083,0.000167,0.000083,0,230000
0.002833,0.00475,0.007333,0.21725,0.29175,0.37825,0.000083,0.000083,0,235000
0.002667,0.004167,0.006583,0.1985,0.266083,0.350833,0.000083,0.000083,0,240000
0.002417,0.00375,0.006083,0.182667,0.244083,0.32475,0.000083,0.000083,0,245000
0.00225,0.003583,0.0055,0.167083,0.222417,0.299917,0.000083,0,0,250000
0.002167,0.003583,0.005,0.154583,0.20275,0.275417,0.000083,0,0,255000
0.001833,0.003333,0.004583,0.141,0.187,0.25275,0.000083,0,0,260000
0.001833,0.003083,0.004167,0.129083,0.173333,0.233,0.000083,0,0,265000
0.00175,0.002833,0.003917,0.11825,0.16,0.213583,0.000083,0,0,270000
0.001583,0.00275,0.00375,0.109083,0.14825,0.195333,0.000083,0,0,275000
0.001583,0.002583,0.003583,0.102,0.135,0.181667,0.000083,0,0,280000
0.001583,0.002333,0.0035,0.09375,0.124667,0.16825,0.000083,0,0,285000
0.00125,0.002333,0.003083,0.085333,0.1155,0.156667,0.000083,0,0,290000
0.00125,0.001917,0.002917,0.07725,0.107417,0.14575,0.000083,0,0,295000
0.00125,0.001917,0.00275,0.071583,0.1,0.134333,0.000083,0,0,300000
0.001167,0.001917,0.00275,0.066833,0.0925,0.124333,0.000083,0,0,305000
0.001167,0.00175,0.0025,0.0635,0.083667,0.115583,0.000083,0,0,310000
0.001083,0.001667,0.002333,0.0585,0.077833,0.10825,0.000083,0,0,315000
0.001167,0.001667,0.002167,0.054417,0.071417,0.100667,0,0,0,320000
0.001083,0.001667,0.002,0.0505,0.067,0.094,0,0,0,325000
0.000917,0.001333,0.001917,0.047833,0.063583,0.085833,0,0,0,330000
0.000833,0.001333,0.001917,0.044417,0.059333,0.08,0,0,0,335000
0.000833,0.001333,0.001833,0.042,0.054917,0.073583,0,0,0,340000
0.00075,0.001333,0.001667,0.039167,0.051917,0.069083,0,0,0,345000
0.000667,0.00125,0.001667,0.037333,0.048417,0.065333,0,0,0,350000
0.000583,0.00125,0.001667,0.035,0.045417,0.061417,0,0,0,355000
0.0005,0.001167,0.001667,0.03225,0.042833,0.057333,0,0,0,360000
0.0005,0.001167,0.001333,0.030417,0.0405,0.054083,0,0,0,365000
0.0005,0.001,0.001333,0.028583,0.0385,0.05125,0,0,0,370000
0.0005,0.001,0.001333,0.02675,0.03625,0.047667,0,0,0,375000
0.000417,0.000917,0.001333,0.025,0.034167,0.044833,0,0,0,380000
0.000333,0.000833,0.00125,0.023,0.031833,0.04225,0,0,0,385000
0.000333,0.00075,0.00125,0.021583,0.02975,0.04025,0,0,0,390000
0.00025,0.00075,0.00125,0.021083,0.028333,0.03825,0,0,0,395000
0.00025,0.000583,0.001167,0.020083,0.0265,0.036417,0,0,0,400000
0.00025,0.000583,0.001083,0.019417,0.024833,0.03425,0,0,0,405000
0.00025,0.000583,0.001,0.018167,0.023,0.03225,0,0,0,410000
0.00025,0.0005,0.001,0.017083,0.02175,0.030083,0,0,0,415000
0.00025,0.0005,0.000917,0.016583,0.02125,0.02875,0,0,0,420000
0.00025,0.0005,0.000833,0.015583,0.020583,0.027167,0,0,0,425000
0.00025,0.0005,0.00075,0.014917,0.0195,0.02525,0,0,0,430000
0.00025,0.000417,0.00075,0.013833,0.018583,0.0235,0,0,0,435000
0.00025,0.000333,0.000667,0.012917,0.01725,0.02225,0,0,0,440000
0.00025,0.000333,0.000583,0.01225,0.016917,0.021583,0,0,0,445000
0.00025,0.00025,0.000583,0.011167,0.01625,0.021,0,0,0,450000
0.000167,0.00025,0.000583,0.0105,0.015083,0.020333,0,0,0,455000
0.000167,0.00025,0.0005,0.010333,0.014333,0.01925,0,0,0,460000
